@RELATION test
@ATTRIBUTE ﻿cevaplar {AZ,COKAZ,COKYUKSEK,ORTA,YUKSEK}
YUKSEK,ORTA,ORTA,Taraftar,BAS,Balotelli,Besiktas,ORTA,Taraftar,AZ,BZY
ORTA,ORTA,ORTA,AhmetKonanc,SON,EranZahavi,Fenerbahce,ORTA,Gazeteci,ORTA,BY
COKAZ,YUKSEK,COKAZ,ASpor,BAS,Ulanovas,Fenerbahce,ORTA,SporKanali,YUKSEK,D
YUKSEK,YUKSEK,ORTA,Taraftar,ORTA,EranZahavi,Fenerbahce,ORTA,Taraftar,AZ,BZY
ORTA,COKAZ,AZ,HakanDede,SON,EranZahavi,Fenerbahce,ORTA,Gazeteci,ORTA,BY
ORTA,ORTA,COKAZ,NTVSpor#MaskeniTak,ORTA,RyanDonk,Galatasaray,DUSUK,SporKanali,COKYUKSEK,D
ORTA,COKAZ,ORTA,Taraftar,BAS,ZeLuis,Besiktas,YUKSEK,Taraftar,AZ,BZY
YUKSEK,ORTA,ORTA,AhmetKonanc,SON,EricMaximChoupo-Moting,Fenerbahce,ORTA,Gazeteci,ORTA,BY
YUKSEK,COKAZ,COKAZ,ASpor,SON,Bakasetas,Alanyaspor,ORTA,SporKanali,YUKSEK,D
YUKSEK,COKAZ,COKYUKSEK,Taraftar,ORTA,AnastasiosBakasetas,Fenerbahce,ORTA,Taraftar,COKAZ,BZY
ORTA,ORTA,ORTA,HakanDede,SON,StefanoOkaka,Fenerbahce,ORTA,Gazeteci,ORTA,BY
YUKSEK,YUKSEK,COKAZ,beINSPORTSTurkiye,SON,VedatMuriqi,Lazio,COKYUKSEK,SporKanali,COKYUKSEK,D
COKAZ,COKAZ,ORTA,Taraftar,ORTA,AnastasiosBakasetas,Fenerbahce,ORTA,Taraftar,AZ,BZY
YUKSEK,ORTA,ORTA,HakanDede,SON,AntonioColak,Fenerbahce,ORTA,Gazeteci,ORTA,BY
COKAZ,ORTA,COKAZ,ASpor,BAS,DenizKadah,Kulupsuz,DUSUK,SporKanali,YUKSEK,D
COKAZ,COKAZ,ORTA,Taraftar,SON,EdinsonCavani,Fenerbahce,YUKSEK,Taraftar,AZ,BZY
ORTA,YUKSEK,COKAZ,beINSPORTSTurkiye,SON,NicolaKalinic,Besiktas,ORTA,SporKanali,COKYUKSEK,BY
ORTA,ORTA,ORTA,AhmetKonanc,ORTA,MauricioLemos,Fenerbahce,ORTA,Gazeteci,ORTA,D
COKYUKSEK,ORTA,COKAZ,KramponSpor,BAS,Balotelli,Besiktas,ORTA,SporSitesi,ORTA,BZY
ORTA,ORTA,ORTA,AhmetKonanc,ORTA,AnastasiosBakasetas,Fenerbahce,ORTA,Gazeteci,ORTA,BY
ORTA,ORTA,ORTA,AhmetKonanc,ORTA,JoseSosa,Fenerbahce,ORTA,Gazeteci,ORTA,D
ORTA,ORTA,COKAZ,Feneronline,SON,EdinsonCavani,Fenerbahce,YUKSEK,FanSayfasi,YUKSEK,BZY
YUKSEK,ORTA,ORTA,AhmetKonanc,ORTA,Mandzukic,Fenerbahce,ORTA,Gazeteci,ORTA,BY
ORTA,ORTA,ORTA,AhmetKonanc,ORTA,JoseSosa,Fenerbahce,ORTA,Gazeteci,ORTA,D
COKAZ,COKAZ,COKYUKSEK,Taraftar,BAS,Balotelli,Besiktas,ORTA,Taraftar,COKAZ,BZY
ORTA,ORTA,ORTA,AhmetKonanc,ORTA,Bastos,Fenerbahce,ORTA,Gazeteci,ORTA,BY
YUKSEK,YUKSEK,COKAZ,ASpor,BAS,EfkanBekiroglu,Alanyaspor,DUSUK,SporKanali,YUKSEK,D
ORTA,COKAZ,ORTA,Taraftar,ORTA,AnastasiosBakasetas,Fenerbahce,ORTA,Taraftar,AZ,BZY
ORTA,ORTA,COKAZ,Siyahcoraplilar,SON,BarisSungur,Fenerbahce,DUSUK,FanSayfasi,ORTA,BY
COKAZ,YUKSEK,COKAZ,ASpor,BAS,CameronJerome,Kulupsuz,DUSUK,SporKanali,YUKSEK,D
ORTA,AZ,ORTA,Taraftar,SON,EranZahavi,Fenerbahce,ORTA,Taraftar,AZ,BZY
YUKSEK,ORTA,AZ,BBOSports,SON,EranZahavi,Fenerbahce,ORTA,SporSitesi,ORTA,BY
YUKSEK,ORTA,ORTA,AhmetKonanc,ORTA,JoseSosa,Fenerbahce,ORTA,Gazeteci,ORTA,D
ORTA,ORTA,AZ,TransferHaberleri,BAS,Balotelli,Besiktas,ORTA,SporSitesi,ORTA,BZY
ORTA,ORTA,ORTA,AhmetKonanc,ORTA,VedatMuriqi,Fenerbahce,COKYUKSEK,Gazeteci,ORTA,BY
YUKSEK,ORTA,COKAZ,beINSPORTSTurkiye,SON,Rafael,Basaksehir,ORTA,SporKanali,COKYUKSEK,D
COKAZ,COKAZ,YUKSEK,Taraftar,ORTA,MalangSarr,Fenerbahce,COKYUKSEK,Taraftar,AZ,BZY
ORTA,ORTA,ORTA,AhmetKonanc,SON,ZeLuis,Fenerbahce,YUKSEK,Gazeteci,ORTA,BY
ORTA,ORTA,COKAZ,TRTSpor,ORTA,FernandoZuqui,YeniMalatyaSpor,ORTA,SporKanali,COKYUKSEK,D
YUKSEK,ORTA,ORTA,Taraftar,BAS,Rafael,Besiktas,ORTA,Taraftar,AZ,BZY
ORTA,ORTA,ORTA,AhmetKonanc,SON,SalomónRondón,Fenerbahce,YUKSEK,Gazeteci,ORTA,BY
YUKSEK,YUKSEK,COKAZ,ASpor,BAS,GokhanGonul,Fenerbahce,DUSUK,SporKanali,YUKSEK,D
ORTA,ORTA,COKAZ,GalataSarayiEfendileri,SON,Marcao,Roma,YUKSEK,FanSayfasi,AZ,BZY
COKYUKSEK,COKYUKSEK,COKAZ,ASpor,BAS,SteliosKitsiou,Antalyaspor,DUSUK,SporKanali,YUKSEK,BY
COKAZ,YUKSEK,COKAZ,ASpor,BAS,BurakYilmaz,Lille,ORTA,SporKanali,YUKSEK,D
COKAZ,COKAZ,ORTA,Taraftar,SON,EdinsonCavani,Fenerbahce,YUKSEK,Taraftar,AZ,BZY
COKAZ,ORTA,COKAZ,beINSPORTSTurkiye,SON,DavidSilva,Lazio,ORTA,SporKanali,COKYUKSEK,BY
YUKSEK,ORTA,COKAZ,HakanDede,SON,OghenekaroEtebo,Galatasaray,ORTA,Gazeteci,ORTA,D
ORTA,COKAZ,AZ,Taraftar,BAS,Balotelli,Besiktas,ORTA,Taraftar,AZ,BZY
YUKSEK,ORTA,ORTA,AhmetKonanc,SON,EricMaximChoupo-Moting,Fenerbahce,ORTA,Gazeteci,ORTA,BY
ORTA,ORTA,COKAZ,beINSPORTSTurkiye,SON,MarcelTisserand,Fenerbahce,ORTA,SporKanali,COKYUKSEK,D
COKAZ,COKAZ,ORTA,Taraftar,BAS,Rafael,Besiktas,ORTA,Taraftar,AZ,BZY
ORTA,ORTA,YUKSEK,AhmetKonanc,SON,EdisonCavani,Fenerbahce,YUKSEK,Gazeteci,ORTA,BY
YUKSEK,ORTA,COKAZ,TRTSpor,SON,ValentinRosier,Besiktas,ORTA,SporKanali,COKYUKSEK,D
ORTA,COKAZ,ORTA,Taraftar,ORTA,MalangSarr,Fenerbahce,COKYUKSEK,Taraftar,AZ,BZY
YUKSEK,COKYUKSEK,COKAZ,ASpor,BAS,BrahimDarri,Fenerbahce,DUSUK,SporKanali,YUKSEK,BY
ORTA,ORTA,AZ,GoztepeTV,SON,DzenanBurekovic,Goztepe,DUSUK,FanSayfasi,ORTA,D
ORTA,COKAZ,COKAZ,Taraftar,ORTA,MalangSarr,Fenerbahce,COKYUKSEK,Taraftar,AZ,BZY
ORTA,ORTA,COKYUKSEK,Taraftar,SON,EranZahavi,Fenerbahce,ORTA,Taraftar,AZ,BY
ORTA,ORTA,ORTA,AhmetKonanc,SON,MarcelTisserand,Fenerbahce,ORTA,Gazeteci,ORTA,D
YUKSEK,COKAZ,ORTA,Taraftar,BAS,ZeLuis,Besiktas,YUKSEK,Taraftar,AZ,BZY
ORTA,ORTA,ORTA,AhmetKonanc,SON,Giuliano,Fenerbahce,YUKSEK,Gazeteci,ORTA,BY
ORTA,ORTA,ORTA,AhmetKonanc,SON,MbwanaSamatta,Fenerbahce,YUKSEK,Gazeteci,ORTA,D
YUKSEK,ORTA,ORTA,Taraftar,BAS,Balotelli,Besiktas,ORTA,Taraftar,AZ,BZY
ORTA,ORTA,ORTA,AhmetKonanc,SON,EdinVisca,Fenerbahce,YUKSEK,Gazeteci,ORTA,BY
ORTA,ORTA,ORTA,AhmetKonanc,SON,MbwanaSamatta,Fenerbahce,YUKSEK,Gazeteci,ORTA,D
YUKSEK,ORTA,ORTA,Taraftar,BAS,Balotelli,Besiktas,ORTA,Taraftar,AZ,BZY
ORTA,ORTA,ORTA,AhmetKonanc,SON,EdinVisca,Fenerbahce,YUKSEK,Gazeteci,ORTA,BY
ORTA,ORTA,COKAZ,beINSPORTSTurkiye,SON,Abdulkadiromur,Trabzonspor,YUKSEK,SporKanali,COKYUKSEK,D
ORTA,ORTA,ORTA,Taraftar,BAS,Rafael,Besiktas,ORTA,Taraftar,AZ,BZY
ORTA,AZ,ORTA,AhmetKonanc,SON,ZeLuis,Fenerbahce,YUKSEK,Gazeteci,ORTA,BY
YUKSEK,ORTA,ORTA,AhmetKonanc,SON,NazimSangare,Fenerbahce,ORTA,Gazeteci,ORTA,D
YUKSEK,ORTA,ORTA,Taraftar,BAS,Balotelli,Besiktas,ORTA,Taraftar,AZ,BZY
ORTA,ORTA,ORTA,AhmetKonanc,SON,EranZahavi,Fenerbahce,ORTA,Gazeteci,ORTA,BY
ORTA,ORTA,COKAZ,TRTSpor,ORTA,Andre,Gaziantep,DUSUK,SporKanali,COKYUKSEK,D
COKAZ,COKAZ,ORTA,Taraftar,BAS,Balotelli,Besiktas,ORTA,Taraftar,COKAZ,BZY
YUKSEK,YUKSEK,ORTA,AhmetKonanc,SON,EdisonCavani,Fenerbahce,YUKSEK,Gazeteci,ORTA,BY
YUKSEK,COKAZ,COKAZ,NTVSpor#MaskeniTak,ORTA,Fatihozturk,Kasimpasa,DUSUK,SporKanali,COKYUKSEK,D
YUKSEK,COKAZ,ORTA,Taraftar,BAS,Rafael,Besiktas,ORTA,Taraftar,COKAZ,BZY
YUKSEK,ORTA,ORTA,AhmetKonanc,SON,EranZahavi,Fenerbahce,ORTA,Gazeteci,ORTA,BY
COKAZ,YUKSEK,COKAZ,ASpor,BAS,Ulanovas,Fenerbahce,ORTA,SporKanali,YUKSEK,D
YUKSEK,YUKSEK,ORTA,Taraftar,ORTA,EranZahavi,Fenerbahce,ORTA,Taraftar,AZ,BZY
ORTA,COKAZ,AZ,HakanDede,SON,EranZahavi,Fenerbahce,ORTA,Gazeteci,ORTA,BY
ORTA,ORTA,COKAZ,ASpor,BAS,EmreKilinc,Galatasaray,ORTA,SporKanali,YUKSEK,D
COKAZ,COKAZ,YUKSEK,Taraftar,SON,EranZahavi,Fenerbahce,ORTA,Taraftar,COKAZ,BZY
COKYUKSEK,COKYUKSEK,COKAZ,ASpor,BAS,AnasTahiri,Besiktas,DUSUK,SporKanali,YUKSEK,BY
ORTA,ORTA,COKAZ,beINSPORTSTurkiye,SON,BenjaminTetteh,Y.Malatyaspor,ORTA,SporKanali,COKYUKSEK,D
ORTA,COKAZ,ORTA,Taraftar,ORTA,MalangSarr,Fenerbahce,COKYUKSEK,Taraftar,AZ,BZY
ORTA,ORTA,ORTA,AhmetKonanc,SON,ZeLuis,Fenerbahce,YUKSEK,Gazeteci,ORTA,BY
ORTA,ORTA,COKAZ,ASpor,BAS,SemihKaya,Kulupsuz,DUSUK,SporKanali,YUKSEK,D
YUKSEK,AZ,ORTA,Taraftar,SON,EdinsonCavani,Fenerbahce,YUKSEK,Taraftar,AZ,BZY
YUKSEK,COKAZ,COKAZ,beINSPORTSTurkiye,SON,NicolaKalinic,Fenerbahce,ORTA,SporKanali,COKYUKSEK,BY
ORTA,ORTA,COKAZ,NTVSpor#MaskeniTak,ORTA,RyanDonk,Galatasaray,DUSUK,SporKanali,COKYUKSEK,D
ORTA,COKAZ,ORTA,Taraftar,BAS,Rafael,Besiktas,ORTA,Taraftar,AZ,BZY
YUKSEK,ORTA,ORTA,AhmetKonanc,SON,ZeLuis,Fenerbahce,YUKSEK,Gazeteci,ORTA,BY
ORTA,ORTA,COKAZ,beINSPORTSTurkiye,SON,VedatMuriqi,Lazio,COKYUKSEK,SporKanali,COKYUKSEK,D
YUKSEK,COKAZ,AZ,Taraftar,ORTA,MalangSarr,Fenerbahce,COKYUKSEK,Taraftar,AZ,BZY
YUKSEK,ORTA,ORTA,AhmetKonanc,SON,ZeLuis,Fenerbahce,YUKSEK,Gazeteci,ORTA,BY
ORTA,COKAZ,COKAZ,NTVSpor#MaskeniTak,ORTA,Sedatsahinturk,AdanaDemirspor,DUSUK,SporKanali,COKYUKSEK,D
YUKSEK,ORTA,AZ,Taraftar,BAS,Rafael,Besiktas,ORTA,Taraftar,AZ,BZY
YUKSEK,ORTA,ORTA,AhmetKonanc,SON,VincentAboubakar,Fenerbahce,ORTA,Gazeteci,ORTA,BY
ORTA,ORTA,ORTA,Goztepe.Net,SON,ObinnaNwobodo,Goztepe,DUSUK,FanSayfasi,AZ,D
COKAZ,COKAZ,ORTA,Taraftar,ORTA,LusizGustavo,kulupsuz,ORTA,Taraftar,AZ,BZY
ORTA,ORTA,YUKSEK,Taraftar,SON,EranZahavi,Fenerbahce,ORTA,Taraftar,AZ,BY
ORTA,ORTA,ORTA,AhmetKonanc,ORTA,MauricioLemos,Fenerbahce,ORTA,Gazeteci,ORTA,D
COKYUKSEK,ORTA,COKAZ,KramponSpor,BAS,Balotelli,Besiktas,ORTA,SporSitesi,ORTA,BZY
ORTA,ORTA,ORTA,AhmetKonanc,ORTA,AnastasiosBakasetas,Fenerbahce,ORTA,Gazeteci,ORTA,BY
